,Ottignies-Louvain-la-Neuve,27.380,31.261
,Rebecq,9.877,10.897
,Waver,31.033,33.604
,Genepiën,13.757,15.316
,Eigenbrakel,35.259,39.756
,Bevekom,6.199,7.023
,Chaumont-Gistoux,10.141,11.716
,Itter,5.651,6.687
,Hélécine,2.848,3.329
,Mont-Saint-Guibert,5.871,7.319
,Perwijs,7.057,8.829
,Ramillies,5.295,6.216
,Kasteelbrakel,8.994,10.137
,Waterloo,28.986,29.568
,Orp-Jauche,7.437,8.707
,Geldenaken,11.483,13.728
,Graven,11.827,13.033
,Tubeke,21.461,25.156
,Nijvel,23.751,27.692
,Rixensart,21.271,21.956
,Villers-la-Ville,9.092,10.395
,Incourt,4.114,5.215
,Court-Saint-Étienne,8.746,10.252
,Chastre,6.487,7.411
West Flanders,Spiere-Helkijn,1.858,2.155
,Zuienkerke,2.790,2.713
,Brugge,116.246,117.886
,Lo-Reninge,3.217,3.282
,Oostkamp,21.218,23.120
,Oostrozebeke,7.317,7.704
,Zonnebeke,11.545,12.396
,Deerlijk,11.460,11.683
,Kuurne,12.785,13.084
,Mesen,964,1.037
,Gistel,11.085,11.753
,Wingene,12.517,14.179
,Kortemark,12.232,12.348
,Kortrijk,74.790,75.219
,Ichtegem,13.242,13.952
,Koksijde,19.729,22.180
,De Haan,11.355,12.587
,Jabbeke,13.609,13.854
,Heuvelland,8.399,7.883
,Anzegem,13.718,14.567
,Roeselare,54.199,60.386
,Langemark-Poelkapelle,7.656,8.015
,Zedelgem,22.020,22.407
,Oostende,67.279,70.460
,Veurne,11.854,11.498
,Diksmuide,15.443,16.515
,Ruiselede,5.048,5.263
,Middelkerke,16.583,19.302
,Bredene,14.076,17.301
,Koekelare,8.154,8.705
,Ingelmunster,10.651,10.691
,Alveringem,4.805,5.005
,Lichtervelde,8.270,8.612
,Poperinge,19.254,19.944
,Hooglede,9.750,10.071
,Lendelede,5.502,5.743
,Ledegem,9.344,9.507
,Ardooie,9.508,9.067
,Wielsbeke,8.911,9.440
,Wervik,17.796,18.426
,Avelgem,9.148,9.788
,Houthulst,8.946,9.994
,Izegem,26.532,27.376
,Harelbeke,26.320,27.446
,De Panne,9.722,10.836
,Dentergem,7.868,8.371
,Ieper,35.071,34.971
,Oudenburg,8.810,9.222
,Meulebeke,11.055,11.023
,Waregem,35.839,37.341
,Vleteren,3.593,3.623
,Nieuwpoort,10.261,11.411
,Staden,10.986,11.193
,Torhout,18.838,20.343
,Tielt,19.208,20.070
,Blankenberge,17.414,20.014
,Pittem,6.629,6.793
,Damme,11.058,10.883
,Wevelgem,31.374,31.307
,Moorslede,10.733,10.942
,Zwevegem,23.489,24.271
,Knokke-Heist,33.148,33.452
,Menen,32.028,32.905
,Beernem,14.525,15.481
